ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions,negative_tone_score,inverse_goldstein,negative_tone_score_scaled,conflict_share_scaled,material_conflict_share_scaled,avg_attention_scaled,inverse_goldstein_scaled,global_tension_index_0_100
SF,635,-3.472422164406267,-3.85138196647032,0.3354330708661417,0.17480314960629922,0.007874015748031496,0.3921259842519685,-0.10283464566929136,3.8270087286704273,2943,3.472422164406267,0.10283464566929136,0.27779377315250137,0.3354330708661417,0.30590551181102366,0.5125587747970265,0.020904422215408235,29.051911056842027
RS,2107,-3.45386315847771,-3.31217373820146,0.3616516373991457,0.19269102990033224,0.005220692928334125,0.3583293782629331,-0.24760322733744664,3.4695652336107226,7961,3.45386315847771,0.24760322733744664,0.2763090526782168,0.3616516373991457,0.33720930232558144,0.40772114609190735,0.050333254638765784,28.66448786267234
IR,1228,-3.475204073827864,-3.31230283911672,0.34527687296416937,0.1775244299674267,0.005700325732899023,0.38436482084690554,-0.15798045602605862,3.5952403519322704,5139,3.475204073827864,0.15798045602605862,0.2780163259062291,0.34527687296416937,0.31066775244299677,0.4445814654827124,0.03211456735283582,28.21313968297887
KE,251,-2.5922578940264973,-3.10965630114567,0.4063745019920319,0.14342629482071714,0.02390438247011952,0.28286852589641437,-0.19800796812749,3.7889730616476487,1107,2.5922578940264973,0.19800796812749,0.20738063152211977,0.4063745019920319,0.25099601593625503,0.5014029720142131,0.040251436087635734,28.128111151045115
NG,75,-2.725003041127225,-3.00480769230769,0.32,0.16,0.0,0.26666666666666666,0.09733333333333331,4.063499183982081,407,2.725003041127225,0.0,0.21800024329017798,0.32,0.28,0.5819210625122542,0.0,27.99842611604865
JM,114,-3.2785064290238513,-3.89380530973452,0.2807017543859649,0.16666666666666666,0.0,0.2894736842105263,0.3403508771929824,3.986533306417171,573,3.2785064290238513,0.0,0.2622805143219081,0.2807017543859649,0.2916666666666667,0.5593470887048249,0.0,27.879920481587288
GT,15,-2.949116767582797,-2.32945091514143,0.3333333333333333,0.2,0.0,0.6666666666666666,0.39999999999999997,3.683546330102937,56,2.949116767582797,0.0,0.23592934140662375,0.3333333333333333,0.35000000000000003,0.47048147339963464,0.0,27.794882962791835
CI,59,-2.187946614204011,-1.73160173160173,0.22033898305084745,0.1864406779661017,0.0,0.5084745762711864,0.1610169491525423,4.246785065353067,359,2.187946614204011,0.0,0.17503572913632087,0.22033898305084745,0.326271186440678,0.6356785303180463,0.0,27.146488578917854
JO,164,-2.427775794094901,-2.54110612855008,0.2804878048780488,0.18292682926829268,0.012195121951219513,0.49390243902439024,0.5109756097560976,3.979355114908092,835,2.427775794094901,0.0,0.19422206352759208,0.2804878048780488,0.3201219512195122,0.5572417361481156,0.0,27.04147111546537
AQ,2,1.3431786216596349,1.3431786216596349,0.5,0.0,0.0,0.0,-1.0,4.276666119016055,10,0.0,1.0,0.0,0.5,0.0,0.6444425975133798,0.2032819005633113,26.954489961533824
DO,2,3.862660944206,3.862660944206,0.5,0.0,0.0,0.5,1.0,4.882801922586371,15,0.0,0.0,0.0,0.5,0.0,0.8222212987566898,0.0,26.4444259751338
TZ,51,-2.1957471704676808,-3.59168241965974,0.2549019607843137,0.19607843137254902,0.0,0.3137254901960784,-0.07254901960784316,3.897110999179264,271,2.1957471704676808,0.07254901960784316,0.17565977363741447,0.2549019607843137,0.3431372549019608,0.5331196631851721,0.014747902589887294,26.431331101974965
BG,303,-2.024215688972528,-2.41621200311769,0.29372937293729373,0.15841584158415842,0.026402640264026403,0.40264026402640263,0.026072607260726074,4.057704548832198,1617,2.024215688972528,0.0,0.16193725511780221,0.29372937293729373,0.27722772277227725,0.5802215049130212,0.0,26.262317114807885
VE,249,-3.7867973213500803,-3.88314926968293,0.3293172690763052,0.14056224899598393,0.040160642570281124,0.40160642570281124,0.6554216867469879,3.553579522374051,977,3.7867973213500803,0.0,0.3029437857080064,0.3293172690763052,0.2459839357429719,0.43236240809004023,0.0,26.21214797234647
PK,1023,-2.5879429638855753,-2.70270270270269,0.2961876832844575,0.17204301075268819,0.01270772238514174,0.4066471163245357,0.13049853372434017,3.7961891243362826,4804,2.5879429638855753,0.0,0.20703543711084602,0.2961876832844575,0.30107526881720437,0.5035194321297833,0.0,26.15635642684582
MX,643,-2.4105847025774723,-2.80254777070064,0.28771384136858474,0.18662519440124417,0.004665629860031105,0.39502332814930013,0.07760497667185069,3.7289622125995168,2850,2.4105847025774723,0.0,0.19284677620619778,0.28771384136858474,0.32659409020217733,0.48380188205806174,0.0,25.819131796700432
UP,1740,-3.247516916471752,-3.14569536423841,0.31839080459770114,0.1793103448275862,0.006896551724137931,0.3603448275862069,-0.012643678160919544,3.4291499897204107,6416,3.247516916471752,0.012643678160919544,0.2598013533177401,0.31839080459770114,0.3137931034482759,0.39586741706463374,0.002570230926662557,25.80845818710027
