event_date,events,avg_tone,conflict_share,avg_attention
2024-06-15,2,-4.14201183431952,0.0,4.1588830833596715
2024-06-16,560,-2.4678210433894554,0.25357142857142856,4.055537714494259
2024-06-26,1,-3.52941176470588,0.0,5.0875963352323845
2024-06-30,24,-0.0686034327175448,0.25,3.0127285999879025
2024-07-09,9,-2.5781798101586424,0.2222222222222222,3.6691949420451997
2024-07-19,5,-0.8702707592307201,0.2,3.4336211515574417
2024-07-23,36,-2.5166884365953694,0.3055555555555556,3.7581862817831646
2024-07-25,3,-2.98507462686567,0.0,4.488968606428412
2024-07-26,1428,-2.812711201462615,0.31512605042016806,3.9354044433747792
2024-07-27,4,-3.24952786905008,0.75,3.9636621801548966
2024-07-29,2,-2.266883651560585,0.5,4.0943445622221
2024-07-30,1270,-2.2936373713672897,0.3188976377952756,3.767727833845255
2024-07-31,7,-2.281049751121228,0.42857142857142855,3.61523537244674
2024-08-06,11,-4.783415571464325,0.0,3.8248649099636918
2024-08-19,8,-6.782356863284018,0.25,3.567384308171717
2024-08-23,9,-2.4594115626735347,0.4444444444444444,3.4101390328217023
2024-08-25,2,-7.57946210268949,0.0,5.488937726156687
2024-08-26,985,-3.112893666245467,0.3086294416243655,3.919946651442413
2024-08-29,3,-2.54932831717238,0.0,3.486250341910896
2024-08-30,1229,-1.9470398574067598,0.2563059397884459,3.831784429609421
2024-09-05,1537,-2.4316751626996607,0.30579050097592714,3.783990757698821
2024-09-09,3,-2.51632345554997,0.3333333333333333,2.960612101668049
2024-09-15,3,-3.50877192982456,0.0,3.4552369981543003
2024-09-16,618,-1.3755431670395812,0.22815533980582525,3.912307419358001
2024-09-26,6,-7.06448395235581,0.0,2.5415396620531325
2024-10-06,9,-4.75119469529965,0.4444444444444444,3.171346781958308
2024-10-17,10,-1.421543436217896,0.4,3.2027957612131503
2024-10-19,3,-4.8723018982580735,0.0,3.4862503419108957
2024-10-23,19,-4.450795396182596,0.5263157894736842,3.52664428587554
2024-10-26,1098,-2.3631613054649283,0.2978142076502732,3.8403037848183983
2024-10-29,5,-2.266447275521686,0.2,4.888956254319721
2024-10-30,1291,-1.480503033816401,0.2378001549186677,3.7698897441196344
2024-11-04,1,-2.40963855421687,1.0,4.276666119016055
