ActionGeo_CountryCode,events,avg_tone,median_tone,conflict_share,material_conflict_share,protest_share,diplomacy_share,avg_goldstein,avg_attention,total_mentions
MI,31,0.2710005932470616,-0.59880239520958,0.41935483870967744,0.0,0.0,0.25806451612903225,0.8,4.211950897609585,180
ML,31,-4.8317728844239705,-4.85436893203884,0.4838709677419355,0.16129032258064516,0.0,0.1935483870967742,-1.1774193548387097,4.00601697590325,164
MO,93,0.15120651369014051,0.707964601769909,0.10752688172043011,0.021505376344086023,0.0,0.7419354838709677,4.1967741935483875,3.460392872186533,339
MT,32,0.2014794512459981,1.23456790123457,0.09375,0.03125,0.0,0.34375,1.546875,4.475459518618438,204
MU,87,0.5224929724084929,3.24324324324324,0.20689655172413793,0.11494252873563218,0.0,0.5287356321839081,1.5344827586206897,3.6969513726398526,383
MV,48,2.7270076838400725,1.64609053497943,0.08333333333333333,0.0625,0.0,0.6875,2.2708333333333335,3.5689683849584917,186
MX,644,-2.261197895285654,-2.773136115356155,0.2779503105590062,0.17391304347826086,0.004658385093167702,0.40372670807453415,0.2846273291925466,3.7327768499620606,2859
MY,372,0.32990026787092513,0.18867924528302,0.13978494623655913,0.06720430107526881,0.008064516129032258,0.48118279569892475,1.5844086021505375,3.952297722948327,1874
MZ,22,-7.500036725656442,-11.4551083591332,0.45454545454545453,0.22727272727272727,0.0,0.09090909090909091,-0.9090909090909091,4.041306053409276,112
NG,82,-2.811568474308417,-3.4026413758450547,0.35365853658536583,0.15853658536585366,0.0,0.2682926829268293,-0.049999999999999996,4.001310096338535,429
NH,62,1.7076879618504452,2.09061430372906,0.11290322580645161,0.016129032258064516,0.0,0.6935483870967742,2.9403225806451614,4.470794687145001,399
NI,2187,-0.9794174963385496,-0.92592592592593,0.23136716963877457,0.10608139003200731,0.007773205304069501,0.3840877914951989,0.8210333790580704,3.7135292939805202,9460
NL,199,-2.2992969451878493,-1.27569099929129,0.1507537688442211,0.04522613065326633,0.005025125628140704,0.46733668341708545,1.4824120603015076,3.7779374803673766,925
NO,135,-0.36328214922801294,-0.09250693802035,0.2222222222222222,0.11851851851851852,0.007407407407407408,0.45925925925925926,1.0785185185185184,3.695379439084163,599
NP,69,-2.162945918555591,-1.78571428571429,0.3333333333333333,0.13043478260869565,0.014492753623188406,0.42028985507246375,1.7536231884057971,4.000583915620615,365
NU,46,-3.4342265103127203,-3.97350993377483,0.17391304347826086,0.08695652173913043,0.021739130434782608,0.34782608695652173,1.5260869565217392,3.8480269356484076,215
NZ,468,-0.7215082646111517,-0.41753653444676,0.18162393162393162,0.07478632478632478,0.004273504273504274,0.4081196581196581,1.6324786324786325,4.002210344535787,2404
OS,142,0.9673828334369448,2.98013245033112,0.04225352112676056,0.02112676056338028,0.0,0.795774647887324,5.6281690140845075,2.999806816062201,376
PE,95,-1.928208171245693,-1.76630434782609,0.21052631578947367,0.1368421052631579,0.0,0.30526315789473685,1.7073684210526314,3.5655226785830165,374
PK,1018,-2.6583137489646544,-2.6981526981526898,0.3045186640471513,0.17779960707269155,0.011787819253438114,0.3948919449901768,0.031139489194499007,3.7992801983308992,4763
PL,173,-1.343653969422774,-1.85449358059915,0.1791907514450867,0.08092485549132948,0.0,0.4797687861271676,0.8861271676300578,3.793190000524013,949
PM,72,-1.8758745258856873,-2.04638472032742,0.18055555555555555,0.1388888888888889,0.0,0.5416666666666666,2.213888888888889,3.5163530852092215,283
PO,124,0.06744363687881653,0.96501809408927,0.08064516129032258,0.07258064516129033,0.0,0.6532258064516129,1.4959677419354838,3.7355592339150068,546
PP,52,1.1769128548815955,1.87165775401069,0.15384615384615385,0.019230769230769232,0.038461538461538464,0.6730769230769231,1.646153846153846,4.231635427988421,358
QA,217,-1.9396914036843769,-2.0,0.15207373271889402,0.06451612903225806,0.0,0.5668202764976958,1.612442396313364,3.4455437320183937,792
RB,42,-3.1224735015842073,-1.61290322580645,0.42857142857142855,0.21428571428571427,0.023809523809523808,0.30952380952380953,-0.9357142857142856,3.839344805128274,233
RI,43,-4.747771518223029,-3.78071833648393,0.4883720930232558,0.11627906976744186,0.023255813953488372,0.11627906976744186,-0.9395348837209302,3.2965638001243946,140
RO,104,-1.0072732262694928,-1.37931034482759,0.25961538461538464,0.125,0.0,0.5288461538461539,1.185576923076923,3.6399556029164404,685
RP,475,-1.1600938634202778,-0.79840319361278,0.23578947368421052,0.08842105263157894,0.016842105263157894,0.4336842105263158,0.9082105263157895,3.744626523524877,2089
